Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.07     38.59     0.03                             rasterize (draw.c:328 @ 5715)
  0.07     38.62     0.03                             readBits (lodepng.c:574 @ 15499)
  0.07     38.65     0.03                             unfilterScanline (lodepng.c:4390 @ 1c26a)
  0.07     38.68     0.03                             unfilterScanline (lodepng.c:4492 @ 1d1bf)
  0.06     38.70     0.03                             count_inside_points (clipping_xy.c:160 @ ce27)
  0.06     38.73     0.03                             draw_mesh (draw.c:409 @ 5c27)
  0.06     38.76     0.03                             ensureBits32 (lodepng.c:544 @ 15232)
  0.06     38.78     0.03                             fill_triangle_color (fill_triangle2.c:147 @ b7b4)
  0.06     38.80     0.03                             fill_triangle_color (fill_triangle2.c:203 @ ba66)
  0.06     38.83     0.03                             fill_triangle_color (fill_triangle2.c:208 @ ba94)
  0.06     38.85     0.03                             fill_triangle_color (fill_triangle2.c:209 @ ba9a)
  0.06     38.88     0.03                             fill_triangle_color (fill_triangle2.c:197 @ bbbe)
  0.06     38.91     0.03                             fill_triangle_texture (fill_triangle.c:204 @ ada8)
  0.06     38.93     0.03                             ft_memcpy (ft_memcpy.c:20 @ ea35)
  0.06     38.95     0.03                             ft_memcpy (ft_memcpy.c:22 @ ea3a)
  0.06     38.98     0.03                             ft_memcpy (ft_memcpy.c:29 @ ea98)
  0.06     39.01     0.03                             ft_memcpy (ft_memcpy.c:29 @ eb6f)
  0.06     39.03     0.03                             ft_memcpy (ft_memcpy.c:28 @ eb77)
  0.06     39.05     0.03                             inflateHuffmanBlock (lodepng.c:1278 @ 1697b)
  0.06     39.08     0.03                             inflateHuffmanBlock (lodepng.c:1301 @ 16a80)
  0.06     39.10     0.03                             inner_loop (fill_triangle.c:148 @ afda)
  0.06     39.13     0.03                             reset_pixel_buffer_main (main.c:109 @ 335f)
  0.06     39.16     0.03                             update_adler32 (lodepng.c:2146 @ 1716e)
  0.05     39.17     0.02 133524114     0.15     0.15  ft_memcpy (ft_memcpy.c:16 @ ea20)
  0.05     39.20     0.02 59197754     0.34     0.34  unit_vec3 (vec3.c:18 @ 5d70)
  0.05     39.22     0.02 35745659     0.56     0.56  projection_matrix (init_matrix.c:57 @ 9e80)
  0.05     39.23     0.02 25510117     0.78     0.78  append_buffer (get_next_line_utils.c:105 @ 10190)
  0.05     39.26     0.02                             call_clipping_xy (clipping_xy.c:262 @ cfb0)
  0.05     39.27     0.02                             call_clipping_xy (clipping_xy.c:268 @ d0c8)
  0.05     39.30     0.02                             cross_product (vec3.c:106 @ 5fb2)
  0.05     39.31     0.02                             cross_product (vec3.c:102 @ 5fbb)
  0.05     39.34     0.02                             draw_mesh (draw.c:367 @ 5970)
  0.05     39.35     0.02                             ensureBits25 (lodepng.c:525 @ 15085)
  0.05     39.38     0.02                             ensureBits32 (lodepng.c:547 @ 152a0)
  0.05     39.40     0.02                             ensureBits32 (lodepng.c:546 @ 152bf)
  0.05     39.41     0.02                             ensureBits32 (lodepng.c:548 @ 152c6)
  0.05     39.44     0.02                             fill_triangle_color (fill_triangle2.c:134 @ b760)
  0.05     39.45     0.02                             fill_triangle_color (fill_triangle2.c:136 @ b762)
  0.05     39.48     0.02                             fill_triangle_color (fill_triangle2.c:204 @ bb77)
  0.05     39.49     0.02                             fill_triangle_texture (fill_triangle.c:216 @ adf7)
  0.05     39.52     0.02                             fill_triangle_texture (fill_triangle.c:240 @ af70)
  0.05     39.53     0.02                             fill_triangle_texture (fill_triangle.c:271 @ b2a2)
  0.05     39.55     0.02                             fill_triangle_texture (fill_triangle.c:290 @ b3b6)
  0.05     39.58     0.02                             get_unset_last_used_index (clipping_xy.c:54 @ d018)
  0.05     39.59     0.02                             huffmanDecodeSymbol (lodepng.c:1074 @ 16012)
  0.05     39.62     0.02                             inflateHuffmanBlock (lodepng.c:1279 @ 169a0)
  0.05     39.63     0.02                             inner_loop (fill_triangle.c:139 @ b2d1)
  0.05     39.66     0.02                             inner_loop (fill_triangle.c:157 @ b492)
  0.05     39.67     0.02                             inner_loop (fill_triangle.c:155 @ b4a8)
  0.05     39.70     0.02                             my_str_cpy (get_next_line_utils.c:80 @ 10429)
  0.05     39.72     0.02                             rasterize (draw.c:285 @ 5421)
  0.05     39.73     0.02                             rasterize (draw.c:284 @ 543a)
  0.05     39.76     0.02                             rasterize (draw.c:285 @ 5442)
  0.05     39.77     0.02                             rasterize (draw.c:286 @ 54a3)
  0.05     39.80     0.02                             rasterize (draw.c:293 @ 54f2)
  0.05     39.81     0.02                             rasterize (draw.c:291 @ 54f7)
  0.05     39.84     0.02                             rasterize (draw.c:300 @ 5523)
  0.05     39.85     0.02                             rasterize (draw.c:301 @ 5572)
  0.05     39.88     0.02                             reset_pixel_buffer_main (main.c:108 @ 335b)
  0.05     39.90     0.02                             unfilterScanline (lodepng.c:4494 @ 1d24f)
  0.05     39.91     0.02                             v3_add_incl_uv (fill_triangle.c:76 @ b239)
  0.05     39.94     0.02                             v3_add_incl_uv (fill_triangle.c:77 @ b3e0)
  0.05     39.95     0.02                             v3_sub (vec3.c:141 @ 612a)
  0.05     39.98     0.02                             v3_sub (vec3.c:146 @ 614d)
  0.05     39.99     0.02                             v3_sub (vec3.c:145 @ 614e)
  0.05     40.02     0.02                             v3_sub_incl_uv (fill_triangle.c:87 @ b0a4)
  0.04     40.03     0.01                             advanceBits (lodepng.c:568 @ 1545b)
  0.04     40.05     0.01                             advanceBits (lodepng.c:571 @ 15496)
  0.04     40.06     0.01                             draw_mesh (draw.c:372 @ 599e)
  0.04     40.08     0.01                             draw_mesh (draw.c:407 @ 5bda)
  0.04     40.09     0.01                             draw_mesh (draw.c:390 @ 5be2)
  0.04     40.10     0.01                             draw_mesh (draw.c:417 @ 5c7b)
