Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.05     76.80     0.04                             draw_mesh (draw.c:417 @ 5ddb)
  0.05     76.84     0.04                             fill_triangle_color (fill_triangle2.c:135 @ b85b)
  0.05     76.89     0.04                             fill_triangle_color (fill_triangle2.c:140 @ b86f)
  0.05     76.94     0.04                             fill_triangle_color (fill_triangle2.c:147 @ b8a4)
  0.05     76.98     0.04                             fill_triangle_color (fill_triangle2.c:130 @ b938)
  0.05     77.03     0.04                             fill_triangle_texture (fill_triangle.c:234 @ af6c)
  0.05     77.07     0.04                             fill_triangle_texture (fill_triangle.c:231 @ af6f)
  0.05     77.11     0.04                             ft_memcpy (ft_memcpy.c:28 @ ebea)
  0.05     77.16     0.04                             ft_memcpy (ft_memcpy.c:29 @ ebf3)
  0.05     77.20     0.04                             reset_pixel_buffer_main (main.c:104 @ 33df)
  0.05     77.25     0.04                             unfilterScanline (lodepng.c:4492 @ 1d2af)
  0.05     77.29     0.04 68676306     0.58     0.58  call_clipping_xy (clipping_xy.c:250 @ cb30)
  0.05     77.33     0.04                             call_clipping_xy (clipping_xy.c:261 @ cb7a)
  0.05     77.37     0.04                             clipping_xy (clipping_xy.c:176 @ cc9c)
  0.05     77.41     0.04                             clipping_z_near (clipping_z.c:137 @ c4f0)
  0.05     77.45     0.04                             count_inside_points (clipping_xy.c:160 @ cf58)
  0.05     77.49     0.04                             fill_triangle_color (fill_triangle2.c:148 @ b8ab)
  0.05     77.53     0.04                             fill_triangle_color (fill_triangle2.c:203 @ bc76)
  0.05     77.57     0.04                             fill_triangle_color (fill_triangle2.c:207 @ bc9b)
  0.05     77.61     0.04                             fill_triangle_color (fill_triangle2.c:208 @ bc9e)
  0.05     77.65     0.04                             fill_triangle_texture (fill_triangle.c:210 @ aed0)
  0.05     77.69     0.04                             fill_triangle_texture (fill_triangle.c:214 @ aefd)
  0.05     77.73     0.04                             fill_triangle_texture (fill_triangle.c:259 @ b2e0)
  0.05     77.77     0.04                             fill_triangle_texture (fill_triangle.c:294 @ b4c7)
  0.05     77.81     0.04                             ft_memcpy (ft_memcpy.c:28 @ ecfa)
  0.05     77.85     0.04                             inner_loop (fill_triangle.c:152 @ af94)
  0.05     77.89     0.04                             inner_loop (fill_triangle.c:152 @ b50d)
  0.05     77.93     0.04                             my_str_cpy (get_next_line_utils.c:74 @ 10476)
  0.05     77.97     0.04                             projection_matrix (init_matrix.c:58 @ 9fee)
  0.05     78.01     0.04                             rasterize (draw.c:310 @ 574c)
  0.05     78.05     0.04                             unfilterScanline (lodepng.c:4499 @ 1d437)
  0.05     78.09     0.04                             unfilterScanline (lodepng.c:4491 @ 1d49f)
  0.05     78.13     0.04                             v3_add_incl_uv (fill_triangle.c:75 @ af4c)
