Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.03     34.84     0.01                             getPixelColorsRGBA8 (lodepng.c:3634 @ 1a23c)
  0.03     34.85     0.01                             get_str_count (ft_split.c:33 @ f441)
  0.03     34.86     0.01                             get_unset_used_index (clipping_xy.c:73 @ cadd)
  0.03     34.87     0.01                             huffmanDecodeSymbol (lodepng.c:1077 @ 16059)
  0.03     34.88     0.01                             huffmanDecodeSymbol (lodepng.c:1078 @ 16060)
  0.03     34.89     0.01                             huffmanDecodeSymbol (lodepng.c:1081 @ 16079)
  0.03     34.90     0.01                             huffmanDecodeSymbol (lodepng.c:1083 @ 160a6)
  0.03     34.91     0.01                             inflateHuffmanBlock (lodepng.c:1260 @ 1686f)
  0.03     34.92     0.01                             inflateHuffmanBlock (lodepng.c:1264 @ 168ab)
  0.03     34.93     0.01                             inflateHuffmanBlock (lodepng.c:1279 @ 169a0)
  0.03     34.94     0.01                             inflateHuffmanBlock (lodepng.c:1286 @ 169db)
  0.03     34.95     0.01                             inflateHuffmanBlock (lodepng.c:1287 @ 169ef)
