Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.08     45.27     0.04 254850105     0.16     0.16  v3_sub (vec3.c:138 @ 6270)
  0.08     45.31     0.04 85249899     0.47     0.47  unit_vec3 (vec3.c:18 @ 5ed0)
  0.08     45.35     0.04 46540917     0.86     0.86  call_clipping_xy (clipping_xy.c:250 @ cb30)
  0.08     45.40     0.04                             fill_triangle_color (fill_triangle2.c:141 @ b877)
  0.08     45.44     0.04                             fill_triangle_color (fill_triangle2.c:139 @ b944)
  0.08     45.48     0.04                             fill_triangle_color (fill_triangle2.c:199 @ bb40)
  0.08     45.52     0.04                             fill_triangle_color (fill_triangle2.c:203 @ bc76)
  0.08     45.55     0.04                             fill_triangle_texture (fill_triangle.c:250 @ af61)
  0.08     45.59     0.04                             fill_triangle_texture (fill_triangle.c:286 @ b2e4)
  0.08     45.63     0.04                             fill_triangle_texture (fill_triangle.c:294 @ b351)
  0.08     45.67     0.04                             fill_triangle_texture (fill_triangle.c:293 @ b35f)
  0.08     45.72     0.04                             fill_triangle_texture (fill_triangle.c:294 @ b363)
  0.08     45.76     0.04                             ft_memcpy (ft_memcpy.c:31 @ eb68)
  0.08     45.80     0.04                             inflateHuffmanBlock (lodepng.c:1314 @ 16c8d)
  0.08     45.84     0.04                             inflateHuffmanBlock (lodepng.c:1325 @ 16cfd)
  0.08     45.88     0.04                             my_str_cpy (get_next_line_utils.c:71 @ 1046c)
  0.08     45.91     0.04                             rasterize (draw.c:286 @ 5603)
  0.08     45.95     0.04                             v3_add_incl_uv (fill_triangle.c:76 @ af86)
  0.08     45.99     0.04                             v3_sub (vec3.c:141 @ 628a)
  0.07     46.03     0.04                             dot_prod_unit (vec3.c:111 @ 617e)
  0.07     46.06     0.04                             ensureBits32 (lodepng.c:544 @ 15322)
  0.07     46.10     0.04                             fill_triangle_color (fill_triangle2.c:143 @ b895)
  0.07     46.13     0.04                             fill_triangle_color (fill_triangle2.c:147 @ b8a4)
  0.07     46.17     0.04                             fill_triangle_color (fill_triangle2.c:130 @ b8af)
  0.07     46.20     0.04                             fill_triangle_color (fill_triangle2.c:203 @ bb56)
  0.07     46.24     0.04                             fill_triangle_color (fill_triangle2.c:205 @ bc7e)
  0.07     46.27     0.04                             ft_memcpy (ft_memcpy.c:20 @ eb25)
  0.07     46.31     0.04                             ft_memcpy (ft_memcpy.c:22 @ eb2a)
  0.07     46.34     0.04                             inflateHuffmanBlock (lodepng.c:1286 @ 16acb)
  0.07     46.38     0.04                             inflateHuffmanBlock (lodepng.c:1315 @ 16c4f)
  0.07     46.41     0.04                             unfilterScanline (lodepng.c:4492 @ 1d2af)
  0.07     46.45     0.04                             unfilterScanline (lodepng.c:4491 @ 1d49f)
  0.06     46.48     0.03                             call_clipping_xy (clipping_xy.c:268 @ d1b8)
  0.06     46.51     0.03                             clipping_z_near (clipping_z.c:142 @ c536)
  0.06     46.54     0.03                             clipping_z_near (clipping_z.c:193 @ c55e)
  0.06     46.57     0.03                             count_inside_points (clipping_xy.c:162 @ cc74)
  0.06     46.60     0.03                             count_inside_points (clipping_xy.c:156 @ ccf7)
  0.06     46.63     0.03                             draw_mesh (draw.c:370 @ 5ae1)
  0.06     46.66     0.03                             draw_mesh (draw.c:374 @ 5b2a)
  0.06     46.69     0.03                             draw_mesh (draw.c:407 @ 5d7f)
  0.06     46.72     0.03                             fill_triangle_color (fill_triangle2.c:148 @ b8ab)
  0.06     46.75     0.03                             fill_triangle_color (fill_triangle2.c:134 @ b930)
  0.06     46.78     0.03                             fill_triangle_color (fill_triangle2.c:130 @ b938)
  0.06     46.81     0.03                             fill_triangle_color (fill_triangle2.c:147 @ b977)
  0.06     46.84     0.03                             fill_triangle_color (fill_triangle2.c:207 @ bb81)
  0.06     46.87     0.03                             fill_triangle_color (fill_triangle2.c:208 @ bc9e)
  0.06     46.90     0.03                             fill_triangle_texture (fill_triangle.c:237 @ aefd)
  0.06     46.93     0.03                             fill_triangle_texture (fill_triangle.c:294 @ b348)
  0.06     46.96     0.03                             fill_triangle_texture (fill_triangle.c:308 @ b385)
  0.06     46.99     0.03                             ft_memcpy (ft_memcpy.c:28 @ ebea)
  0.06     47.02     0.03                             ft_memcpy (ft_memcpy.c:29 @ ec17)
  0.06     47.05     0.03                             ft_memcpy (ft_memcpy.c:28 @ ec1f)
  0.06     47.08     0.03                             inflateHuffmanBlock (lodepng.c:1255 @ 16da1)
  0.06     47.11     0.03                             inner_loop (fill_triangle.c:157 @ af98)
  0.06     47.14     0.03                             inner_loop (fill_triangle.c:157 @ b4f2)
  0.06     47.17     0.03                             lodepng_memcpy (lodepng.c:124 @ 14962)
  0.06     47.20     0.03                             my_str_cpy (get_next_line_utils.c:74 @ 10476)
  0.06     47.23     0.03                             my_str_cpy (get_next_line_utils.c:74 @ 10494)
  0.06     47.26     0.03                             projection_matrix (init_matrix.c:74 @ a024)
  0.06     47.29     0.03                             rasterize (draw.c:265 @ 54a9)
  0.06     47.32     0.03                             rasterize (draw.c:300 @ 5683)
  0.06     47.35     0.03                             rasterize (draw.c:328 @ 5875)
  0.06     47.38     0.03                             reading (get_next_line.c:17 @ f6ea)
  0.06     47.41     0.03                             reset_pixel_buffer_main (main.c:104 @ 33df)
  0.06     47.44     0.03                             unfilterScanline (lodepng.c:4494 @ 1d33f)
  0.06     47.47     0.03                             unit_vec3 (vec3.c:22 @ 5ede)
  0.06     47.50     0.03                             v3_sub (vec3.c:143 @ 6285)
  0.05     47.52     0.03                             advanceBits (lodepng.c:569 @ 15557)
  0.05     47.55     0.03                             draw_mesh (draw.c:373 @ 5b13)
  0.05     47.58     0.03                             draw_mesh (draw.c:379 @ 5c42)
  0.05     47.60     0.03                             ensureBits32 (lodepng.c:547 @ 15373)
  0.05     47.62     0.03                             fill_triangle_color (fill_triangle2.c:134 @ b855)
  0.05     47.65     0.03                             fill_triangle_color (fill_triangle2.c:135 @ b85b)
  0.05     47.67     0.03                             fill_triangle_color (fill_triangle2.c:207 @ bb7a)
  0.05     47.70     0.03                             fill_triangle_color (fill_triangle2.c:204 @ bc67)
  0.05     47.73     0.03                             fill_triangle_color (fill_triangle2.c:207 @ bca2)
  0.05     47.75     0.03                             fill_triangle_color (fill_triangle2.c:209 @ bcaa)
  0.05     47.77     0.03                             ft_memcpy (ft_memcpy.c:28 @ ec31)
  0.05     47.80     0.03                             ft_memcpy (ft_memcpy.c:29 @ ec3b)
  0.05     47.83     0.03                             get_unset_last_used_index (clipping_xy.c:56 @ d112)
  0.05     47.85     0.03                             inflateHuffmanBlock (lodepng.c:1295 @ 16b2b)
  0.05     47.88     0.03                             inflateHuffmanBlock (lodepng.c:1299 @ 16b67)
  0.05     47.90     0.03                             inner_loop (fill_triangle.c:157 @ afb0)
  0.05     47.92     0.03                             lodepng_memcpy (lodepng.c:121 @ 1491a)
  0.05     47.95     0.03                             peekBits (lodepng.c:562 @ 15523)
  0.05     47.98     0.03                             rasterize (draw.c:304 @ 56da)
  0.05     48.00     0.03                             rasterize (draw.c:265 @ 5858)
  0.05     48.02     0.03                             update_adler32 (lodepng.c:2146 @ 1725e)
  0.04     48.05     0.02 84737572     0.24     0.24  cross_product (vec3.c:99 @ 60f0)
  0.04     48.06     0.02 50264660     0.40     0.40  projection_matrix (init_matrix.c:57 @ 9fe0)
  0.04     48.09     0.02                             append_buffer (get_next_line_utils.c:114 @ 104c5)
  0.04     48.10     0.02                             call_clipping_xy (clipping_xy.c:262 @ d0a0)
  0.04     48.12     0.02                             clipping_z_near (clipping_z.c:126 @ c4c5)
  0.04     48.15     0.02                             clipping_z_near (clipping_z.c:126 @ c4d9)
  0.04     48.16     0.02                             cross_product (vec3.c:106 @ 60fe)
  0.04     48.19     0.02                             cross_product (vec3.c:102 @ 610a)
  0.04     48.20     0.02                             cross_product (vec3.c:102 @ 6131)
  0.04     48.23     0.02                             ensureBits25 (lodepng.c:528 @ 151a3)
  0.04     48.24     0.02                             ensureBits25 (lodepng.c:528 @ 15212)
  0.04     48.27     0.02                             ensureBits25 (lodepng.c:530 @ 15219)
  0.04     48.28     0.02                             fill_triangle_color (fill_triangle2.c:140 @ b86f)
  0.04     48.30     0.02                             fill_triangle_color (fill_triangle2.c:142 @ b885)
  0.04     48.33     0.02                             fill_triangle_color (fill_triangle2.c:143 @ b958)
  0.04     48.34     0.02                             fill_triangle_color (fill_triangle2.c:148 @ b97d)
  0.04     48.37     0.02                             fill_triangle_color (fill_triangle2.c:197 @ bb8e)
  0.04     48.38     0.02                             fill_triangle_texture (fill_triangle.c:315 @ b38d)
  0.04     48.41     0.02                             ft_memcpy (ft_memcpy.c:28 @ eb2f)
  0.04     48.42     0.02                             ft_memcpy (ft_memcpy.c:29 @ ebf3)
  0.04     48.45     0.02                             ft_memcpy (ft_memcpy.c:29 @ ec4d)
  0.04     48.47     0.02                             get_unset_used_index (clipping_xy.c:73 @ cbcd)
  0.04     48.48     0.02                             huffmanDecodeSymbol (lodepng.c:1073 @ 160ee)
  0.04     48.51     0.02                             huffmanDecodeSymbol (lodepng.c:1074 @ 16102)
  0.04     48.52     0.02                             inner_loop (fill_triangle.c:149 @ af6b)
  0.04     48.55     0.02                             lodepng_crc32 (lodepng.c:2667 @ 1779b)
  0.04     48.56     0.02                             my_str_cpy (get_next_line_utils.c:71 @ 10473)
  0.04     48.59     0.02                             my_str_cpy (get_next_line_utils.c:80 @ 10519)
  0.04     48.60     0.02                             rasterize (draw.c:259 @ 5493)
  0.04     48.62     0.02                             rasterize (draw.c:293 @ 5648)
  0.04     48.65     0.02                             rasterize (draw.c:265 @ 5869)
  0.04     48.66     0.02                             readBits (lodepng.c:575 @ 15599)
  0.04     48.69     0.02                             sort_buffer (get_next_line_utils.c:101 @ 10438)
  0.04     48.70     0.02                             sort_buffer (get_next_line_utils.c:98 @ 10579)
  0.04     48.73     0.02                             unfilterScanline (lodepng.c:4390 @ 1c35a)
  0.04     48.74     0.02                             v3_add_incl_uv (fill_triangle.c:77 @ b30d)
  0.04     48.77     0.02                             v3_add_incl_uv (fill_triangle.c:75 @ b36f)
  0.04     48.78     0.02                             v3_sub_incl_uv (fill_triangle.c:88 @ ad7c)
  0.03     48.80     0.01                             count_inside_points (clipping_xy.c:156 @ cc59)
  0.03     48.81     0.01                             cpy_triangle_data_rasterize (draw.c:240 @ 55a8)
  0.03     48.83     0.01                             draw_mesh (draw.c:407 @ 5d93)
  0.03     48.84     0.01                             draw_mesh (draw.c:419 @ 5dce)
  0.03     48.86     0.01                             draw_mesh (draw.c:417 @ 5ddb)
  0.03     48.88     0.01                             ensureBits32 (lodepng.c:542 @ 15306)
  0.03     48.89     0.01                             ensureBits32 (lodepng.c:545 @ 1532e)
  0.03     48.91     0.01                             ensureBits32 (lodepng.c:559 @ 15520)
  0.03     48.92     0.01                             fill_triangle_color (fill_triangle2.c:145 @ b89a)
  0.03     48.94     0.01                             fill_triangle_color (fill_triangle2.c:209 @ bb8a)
  0.03     48.95     0.01                             fill_triangle_texture (fill_triangle.c:231 @ b08e)
  0.03     48.97     0.01                             ft_memcpy (ft_memcpy.c:29 @ eb88)
  0.03     48.98     0.01                             inflateHuffmanBlock (lodepng.c:1261 @ 16973)
  0.03     48.99     0.01                             inflateHuffmanBlock (lodepng.c:1262 @ 1698f)
  0.03     49.01     0.01                             inflateHuffmanBlock (lodepng.c:1264 @ 1699b)
  0.03     49.02     0.01                             inflateHuffmanBlock (lodepng.c:1269 @ 16a26)
  0.03     49.04     0.01                             inflateHuffmanBlock (lodepng.c:1287 @ 16adf)
  0.03     49.05     0.01                             inflateHuffmanBlock (lodepng.c:1298 @ 16b49)
  0.03     49.07     0.01                             inner_loop (fill_triangle.c:149 @ af79)
  0.03     49.09     0.01                             inner_loop (fill_triangle.c:137 @ b4b8)
  0.03     49.10     0.01                             inner_loop (fill_triangle.c:136 @ b4bf)
  0.03     49.12     0.01                             lodepng_free (lodepng.c:91 @ 14917)
  0.03     49.13     0.01                             rasterize (draw.c:270 @ 553a)
  0.03     49.15     0.01                             rasterize (draw.c:286 @ 55b6)
  0.03     49.16     0.01                             rasterize (draw.c:293 @ 5652)
  0.03     49.17     0.01                             rasterize (draw.c:291 @ 5657)
  0.03     49.19     0.01                             sort_vertexes_for_y (fill_triangle.c:22 @ ab62)
  0.03     49.20     0.01                             sort_vertexes_for_y (fill_triangle.c:24 @ ab72)
  0.03     49.22     0.01                             v3_add_incl_uv (fill_triangle.c:77 @ af37)
  0.02     49.23     0.01 25510117     0.39     0.39  append_buffer (get_next_line_utils.c:105 @ 10280)
  0.02     49.24     0.01                             advanceBits (lodepng.c:570 @ 1556f)
  0.02     49.25     0.01                             append_next_sub (ft_split.c:57 @ f605)
  0.02     49.26     0.01                             append_next_sub (ft_split.c:59 @ f625)
  0.02     49.27     0.01                             clipp_loop (clipping_xy.c:241 @ ccb6)
  0.02     49.28     0.01                             clipping_xy (clipping_xy.c:176 @ cc9c)
  0.02     49.29     0.01                             clipping_xy (clipping_xy.c:196 @ cdb4)
  0.02     49.30     0.01                             clipping_z_near (clipping_z.c:137 @ c525)
  0.02     49.31     0.01                             clipping_z_near (clipping_z.c:149 @ c735)
  0.02     49.32     0.01                             count_inside_points (clipping_xy.c:156 @ cbc6)
  0.02     49.33     0.01                             count_inside_points (clipping_xy.c:156 @ cbe3)
  0.02     49.34     0.01                             count_inside_points (clipping_xy.c:162 @ cc02)
  0.02     49.35     0.01                             count_inside_points (clipping_xy.c:156 @ cd27)
  0.02     49.36     0.01                             count_inside_points (clipping_xy.c:156 @ cd42)
  0.02     49.37     0.01                             count_inside_points (clipping_xy.c:157 @ cd52)
  0.02     49.38     0.01                             count_inside_points (clipping_xy.c:160 @ cec0)
  0.02     49.39     0.01                             count_inside_points (clipping_xy.c:158 @ cf0e)
  0.02     49.40     0.01                             count_inside_points (clipping_xy.c:160 @ cf17)
  0.02     49.41     0.01                             count_inside_points (clipping_xy.c:160 @ cf58)
  0.02     49.42     0.01                             count_inside_points (clipping_xy.c:158 @ cf78)
  0.02     49.43     0.01                             count_inside_points (clipping_xy.c:158 @ cfaf)
  0.02     49.44     0.01                             count_inside_points (clipping_xy.c:156 @ d2e4)
